No.,Ticker,Company,Country,Market Cap,P/E,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Short Interest,Performance (1 Minute),Performance (2 Minutes),Performance (3 Minutes),Performance (5 Minutes),Performance (10 Minutes),Performance (15 Minutes),Performance (30 Minutes),Performance (1 Hour),Performance (2 Hours),Performance (4 Hours),Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,Earnings Date,Change from Open,Gap,Average Volume,Relative Volume,Volume,Prev Close,Open,High,Low,Price,Change,After-Hours Close,timestamp
2,AEON,AEON Biopharma Inc.,USA,104.1,,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,0.15,0.00%,0.00%,-1.08%,-1.08%,-1.08%,-1.08%,-1.08%,-1.08%,-1.08%,-1.08%,141.91%,95.66%,-62.52%,-62.84%,-66.74%,-63.04%,0.33,36.67%,17.87%,124.29%,80.48%,-55.76%,5/14/2024 4:30:00 PM,-1.81%,18.86%,1001.61,38.71,1938618,2.28,2.71,2.71,2.66,2.66,16.71%,,2024-07-16 07:00:00
2,AEON,AEON Biopharma Inc.,USA,99.36,,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,0.15,2.42%,2.38%,0.79%,-3.05%,-4.55%,-5.58%,-5.58%,-5.58%,-5.58%,-5.58%,130.91%,86.76%,-64.23%,-64.53%,-68.25%,-64.72%,0.33,36.67%,17.87%,114.09%,72.28%,-57.77%,5/14/2024 4:30:00 PM,-6.27%,18.86%,1001.61,41.17,2061961,2.28,2.71,2.71,2.47,2.54,11.40%,,2024-07-16 07:15:00
2,AEON,AEON Biopharma Inc.,USA,98.97,,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,0.15,0.40%,-0.78%,-0.78%,-0.78%,1.98%,-4.53%,-5.95%,-5.95%,-5.95%,-5.95%,130.00%,86.03%,-64.37%,-64.66%,-68.38%,-64.86%,0.33,36.67%,17.87%,113.25%,71.60%,-57.94%,5/14/2024 4:30:00 PM,-6.64%,18.86%,1001.61,41.85,2095744,2.28,2.71,2.71,2.47,2.53,10.96%,,2024-07-16 07:30:00
2,AEON,AEON Biopharma Inc.,USA,102.49,,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,0.15,1.55%,1.55%,1.55%,1.55%,1.95%,1.95%,5.65%,-2.60%,-2.60%,-2.60%,138.18%,92.65%,-63.10%,-63.41%,-67.25%,-63.61%,0.33,36.67%,17.87%,120.83%,77.70%,-56.44%,5/14/2024 4:30:00 PM,-3.32%,18.86%,1001.61,42.55,2130725,2.28,2.71,2.71,2.47,2.62,14.91%,,2024-07-16 07:45:00
3,AEON,AEON Biopharma Inc.,USA,100.93,,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,0.15,0.00%,0.00%,0.39%,0.39%,-1.53%,-0.04%,0.39%,-4.09%,-4.09%,-4.09%,134.55%,89.71%,-63.66%,-63.97%,-67.75%,-64.17%,0.34,36.67%,17.87%,117.46%,74.99%,-57.11%,5/14/2024 4:30:00 PM,-4.80%,18.86%,1001.61,46.47,2327097,2.28,2.71,2.73,2.46,2.58,13.16%,,2024-07-16 08:00:00
3,AEON,AEON Biopharma Inc.,USA,104.45,,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,0.15,-0.74%,-0.71%,-1.07%,-2.20%,-3.26%,2.69%,3.45%,5.12%,-0.74%,-0.74%,142.73%,96.32%,-62.39%,-62.71%,-66.62%,-62.92%,0.35,36.67%,17.87%,125.05%,81.10%,-55.61%,5/14/2024 4:30:00 PM,-1.48%,18.86%,1001.61,59.54,2981970,2.28,2.71,2.97,2.41,2.67,17.11%,,2024-07-16 08:15:00
3,AEON,AEON Biopharma Inc.,USA,106.8,,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,0.15,0.37%,0.37%,-0.73%,-1.08%,-0.36%,1.49%,5.00%,6.23%,1.49%,1.49%,148.18%,100.74%,-61.55%,-61.87%,-65.87%,-62.08%,0.35,36.67%,17.87%,130.11%,85.16%,-54.62%,5/14/2024 4:30:00 PM,0.74%,18.86%,1001.61,63.33,3171626,2.28,2.71,2.97,2.41,2.73,19.74%,,2024-07-16 08:30:00
3,AEON,AEON Biopharma Inc.,USA,102.85,,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,0.15,0.73%,-0.75%,-1.86%,-1.91%,-4.74%,-3.70%,-2.26%,1.86%,-2.26%,-2.26%,139.01%,93.32%,-62.97%,-63.28%,-67.14%,-63.48%,0.35,36.67%,17.87%,121.60%,78.32%,-56.29%,5/14/2024 4:30:00 PM,-2.99%,18.86%,1001.61,68.94,3452550,2.28,2.71,2.97,2.41,2.63,15.31%,,2024-07-16 08:45:00
3,AEON,AEON Biopharma Inc.,USA,102.92,,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,0.15,0.05%,0.42%,0.08%,0.38%,0.42%,1.98%,-3.63%,1.19%,-2.19%,-2.19%,139.18%,93.46%,-62.94%,-63.25%,-67.11%,-63.46%,0.35,36.67%,17.87%,121.76%,78.45%,-56.26%,5/14/2024 4:30:00 PM,-2.92%,18.86%,1001.61,71.56,3583747,2.28,2.71,2.97,2.41,2.63,15.39%,,2024-07-16 09:00:00
4,AEON,AEON Biopharma Inc.,USA,102.1,,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,0.15,0.00%,0.00%,0.01%,-0.38%,1.95%,-0.76%,1.16%,-2.97%,2.76%,-2.97%,137.27%,91.91%,-63.24%,-63.55%,-67.38%,-63.75%,0.35,36.67%,17.87%,119.99%,77.03%,-56.61%,5/14/2024 4:30:00 PM,-3.69%,18.86%,1001.61,73.77,3694313,2.28,2.71,2.97,2.41,2.61,14.47%,,2024-07-16 09:15:00
4,AEON,AEON Biopharma Inc.,USA,98.2,,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,0.15,-2.71%,-0.82%,-0.03%,-0.58%,-4.88%,-3.49%,-4.56%,-8.05%,-2.33%,-6.68%,128.20%,84.57%,-64.65%,-64.94%,-68.62%,-65.14%,0.33,36.67%,17.87%,111.58%,70.26%,-58.27%,5/14/2024 4:30:00 PM,-1.98%,12.32%,1001.61,78.38,3925502,2.28,2.56,2.58,2.51,2.51,10.10%,,2024-07-16 09:30:00
7,AEON,AEON Biopharma Inc.,USA,125.98,,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,0.15,0.68%,0.32%,-2.71%,2.88%,15.01%,16.47%,23.82%,24.82%,24.77%,19.72%,192.76%,136.79%,-54.64%,-55.02%,-59.74%,-55.27%,0.38,36.67%,17.87%,171.44%,118.43%,-46.46%,5/14/2024 4:30:00 PM,25.75%,12.32%,1001.61,149.37,12947189,2.28,2.56,3.33,2.5,3.22,41.25%,,2024-07-16 09:45:00
