No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Cash/sh,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Short Interest,Performance (1 Minute),Performance (2 Minutes),Performance (3 Minutes),Performance (5 Minutes),Performance (10 Minutes),Performance (15 Minutes),Performance (30 Minutes),Performance (1 Hour),Performance (2 Hours),Performance (4 Hours),Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,Gap,Relative Volume,Volume,Prev Close,Open,High,Low,Price,Change,timestamp,Change from Open,Average Volume,After-Hours Close,After-Hours Change
1,ACRS,Aclaris Therapeutics Inc,Healthcare,Diagnostics & Research,USA,105.46,,1.8,70.89,65.48,8.12%,236.46%,76.65%,0.40%,6.02%,4.48,3.94,0.00%,0.00%,0.00%,0.00%,0.68%,0.68%,1.37%,1.37%,1.37%,1.37%,16.54%,25.42%,21.31%,27.59%,-86.41%,40.95%,0.08,4.25%,7.04%,22.54%,26.54%,-19.19%,10.45%,12.7,558610,1.34,1.48,1.51,1.45,1.48,10.45%,2024-07-17 08:00:00,,,,
1,ACRS,Aclaris Therapeutics Inc,Healthcare,Diagnostics & Research,USA,103.36,,1.8,70.89,65.48,8.12%,236.46%,76.65%,0.40%,6.02%,4.48,3.94,0.03%,0.69%,0.03%,0.73%,-3.30%,-0.68%,-1.33%,-1.33%,-0.65%,-0.65%,14.21%,22.92%,18.89%,25.04%,-86.68%,38.14%,0.08,4.25%,7.04%,20.10%,24.02%,-20.80%,10.45%,21.2,932674,1.34,1.48,1.53,1.43,1.45,8.25%,2024-07-17 08:15:00,-1.99%,879.73,,
1,ACRS,Aclaris Therapeutics Inc,Healthcare,Diagnostics & Research,USA,102.61,,1.8,70.89,65.48,8.12%,236.46%,76.65%,0.40%,6.02%,4.48,3.94,-0.66%,-0.66%,-1.34%,-0.69%,-1.03%,-1.37%,-4.00%,-1.37%,-1.37%,-1.37%,13.39%,22.03%,18.03%,24.14%,-86.78%,37.14%,0.08,4.25%,7.04%,19.23%,23.12%,-21.37%,10.45%,22.09,971489,1.34,1.48,1.53,1.43,1.44,7.46%,2024-07-17 08:30:00,-2.70%,879.73,,
1,ACRS,Aclaris Therapeutics Inc,Healthcare,Diagnostics & Research,USA,103.33,,1.8,70.89,65.48,8.12%,236.46%,76.65%,0.40%,6.02%,4.48,3.94,-0.68%,0.00%,0.00%,0.69%,0.69%,0.00%,-0.03%,-1.36%,-0.68%,-0.68%,14.17%,22.88%,18.85%,25.00%,-86.69%,38.10%,0.08,4.25%,7.04%,20.06%,23.97%,-20.83%,10.45%,22.79,1002289,1.34,1.48,1.53,1.43,1.45,8.21%,2024-07-17 08:45:00,-2.03%,879.73,,
1,ACRS,Aclaris Therapeutics Inc,Healthcare,Diagnostics & Research,USA,103.33,,1.8,70.89,65.48,8.12%,236.46%,76.65%,0.40%,6.02%,4.48,3.94,0.03%,0.66%,0.66%,0.00%,0.00%,0.00%,0.00%,-0.72%,-0.68%,-0.68%,14.17%,22.88%,18.85%,25.00%,-86.69%,38.10%,0.08,4.25%,7.04%,20.06%,23.97%,-20.83%,10.45%,23.37,1027757,1.34,1.48,1.53,1.43,1.45,8.21%,2024-07-17 09:00:00,-2.03%,879.73,,
1,ACRS,Aclaris Therapeutics Inc,Healthcare,Diagnostics & Research,USA,102.65,,1.8,70.89,65.48,8.12%,236.46%,76.65%,0.40%,6.02%,4.48,3.94,0.00%,-0.66%,-0.62%,-0.62%,-0.66%,0.03%,-1.34%,-1.30%,-2.01%,-1.34%,13.43%,22.08%,18.07%,24.18%,-86.77%,37.19%,0.08,4.25%,7.04%,19.27%,23.16%,-21.34%,10.45%,24.33,1070091,1.34,1.48,1.53,1.43,1.44,7.50%,2024-07-17 09:15:00,-2.67%,879.73,,
1,ACRS,Aclaris Therapeutics Inc,Healthcare,Diagnostics & Research,USA,100.48,,1.8,70.89,65.48,8.12%,236.46%,76.65%,0.40%,6.02%,4.48,3.94,-1.43%,-2.08%,-2.76%,-2.12%,-2.76%,-2.76%,-2.73%,-2.79%,-3.42%,-3.42%,11.02%,19.49%,15.57%,21.55%,-87.05%,34.29%,0.08,4.25%,7.04%,16.75%,20.55%,-23.01%,6.72%,26.62,1170945,1.34,1.43,1.43,1.41,1.41,5.22%,2024-07-17 09:30:00,-1.40%,879.73,,
1,ACRS,Aclaris Therapeutics Inc,Healthcare,Diagnostics & Research,USA,99.73,,1.8,70.89,65.48,8.12%,236.46%,76.65%,0.40%,6.02%,4.48,3.94,0.68%,1.41%,1.41%,2.15%,-0.04%,-0.04%,-3.48%,-4.11%,-4.80%,-4.14%,10.20%,18.60%,14.71%,20.65%,-87.15%,33.29%,0.08,4.25%,7.04%,15.88%,19.66%,-23.58%,6.72%,21.19,1612843,1.34,1.43,1.43,1.36,1.4,4.44%,2024-07-17 09:45:00,-2.13%,879.73,,
1,ACRS,Aclaris Therapeutics Inc,Healthcare,Diagnostics & Research,USA,98.37,,1.8,70.89,65.48,8.12%,236.46%,76.65%,0.40%,6.02%,4.48,3.94,0.03%,-0.32%,-1.36%,-0.68%,-1.36%,-1.39%,-1.39%,-4.76%,-5.48%,-5.45%,8.70%,16.99%,13.16%,19.01%,-87.32%,31.48%,0.08,4.25%,7.04%,14.30%,18.03%,-24.62%,6.72%,17.12,1853539,1.34,1.43,1.43,1.36,1.38,3.02%,2024-07-17 10:00:00,-3.46%,879.73,,
1,ASST,Asset Entities Inc,Communication Services,Internet Content & Information,USA,16.0,,0.21,1.16,1.03,88.66%,0.00%,0.34%,,0.24%,0.03,0.0,0.57%,6.02%,6.02%,6.02%,6.02%,6.02%,6.02%,6.02%,6.02%,6.02%,-15.38%,-21.60%,-15.18%,-9.25%,-74.21%,-44.91%,0.29,19.99%,15.90%,1.18%,-11.27%,-24.15%,5.10%,239.79,1034153,1.57,1.65,1.76,1.65,1.76,12.10%,2024-07-17 07:00:00,,,,
1,ASST,Asset Entities Inc,Communication Services,Internet Content & Information,USA,16.54,,0.21,1.16,1.03,88.66%,0.00%,0.34%,,0.24%,0.03,0.0,0.00%,6.43%,6.43%,6.43%,7.06%,9.64%,9.64%,9.64%,9.64%,9.64%,-12.50%,-18.93%,-12.29%,-6.16%,-73.33%,-43.04%,0.29,19.99%,15.90%,4.63%,-8.25%,-21.57%,5.10%,242.97,1047877,1.57,1.65,1.86,1.65,1.82,15.92%,2024-07-17 07:15:00,,,,
1,ASST,Asset Entities Inc,Communication Services,Internet Content & Information,USA,21.0,,0.21,1.16,1.03,88.66%,0.00%,0.34%,,0.24%,0.03,0.0,2.67%,-0.43%,0.87%,14.36%,22.87%,26.92%,39.16%,39.16%,39.16%,39.16%,11.06%,2.90%,11.33%,19.10%,-66.15%,-27.70%,0.33,19.99%,15.90%,32.80%,16.45%,-0.45%,5.10%,435.79,1879446,1.57,1.65,2.42,1.65,2.31,47.13%,2024-07-17 07:30:00,,,,
1,ASST,Asset Entities Inc,Communication Services,Internet Content & Information,USA,18.45,,0.21,1.16,1.03,88.66%,0.00%,0.34%,,0.24%,0.03,0.0,0.00%,1.00%,-0.49%,-4.25%,-1.46%,-4.69%,11.54%,22.29%,22.29%,22.29%,-2.40%,-9.58%,-2.17%,4.67%,-70.26%,-36.46%,0.33,19.99%,15.90%,16.71%,2.34%,-12.52%,5.10%,653.49,2818335,1.57,1.65,2.42,1.65,2.03,29.30%,2024-07-17 07:45:00,,,,
2,ASST,Asset Entities Inc,Communication Services,Internet Content & Information,USA,19.09,,0.21,1.16,1.03,88.66%,0.00%,0.34%,,0.24%,0.03,0.0,-0.94%,0.48%,-0.47%,-0.99%,-0.05%,3.45%,-1.41%,26.51%,26.51%,26.51%,0.96%,-6.46%,1.20%,8.28%,-69.23%,-34.27%,0.33,19.99%,15.90%,20.73%,5.87%,-9.50%,5.10%,989.44,4267191,1.57,1.65,2.42,1.63,2.1,33.76%,2024-07-17 08:00:00,,,,
2,ASST,Asset Entities Inc,Communication Services,Internet Content & Information,USA,18.54,,0.21,1.16,1.03,88.66%,0.00%,0.34%,,0.24%,0.03,0.0,-0.49%,-0.97%,0.00%,-1.45%,-0.49%,-4.67%,0.49%,12.09%,22.89%,22.89%,-1.92%,-9.13%,-1.69%,5.18%,-70.11%,-36.15%,0.33,19.99%,15.90%,17.28%,2.84%,-12.09%,5.10%,1083.2,4671563,1.57,1.65,2.42,1.63,2.04,29.94%,2024-07-17 08:15:00,23.64%,86.26,,
2,ASST,Asset Entities Inc,Communication Services,Internet Content & Information,USA,18.09,,0.21,1.16,1.03,88.66%,0.00%,0.34%,,0.24%,0.03,0.0,0.51%,-2.45%,-1.00%,-1.97%,-1.49%,-4.78%,-2.93%,-1.00%,19.88%,19.88%,-4.33%,-11.36%,-4.10%,2.60%,-70.84%,-37.72%,0.33,19.99%,15.90%,14.41%,0.32%,-14.24%,5.10%,1149.0,4955364,1.57,1.65,2.42,1.63,1.99,26.75%,2024-07-17 08:30:00,20.61%,86.26,,
2,ASST,Asset Entities Inc,Communication Services,Internet Content & Information,USA,18.18,,0.21,1.16,1.03,88.66%,0.00%,0.34%,,0.24%,0.03,0.0,0.50%,1.01%,-0.99%,-0.50%,0.00%,0.51%,-0.50%,-1.48%,20.48%,20.48%,-3.85%,-10.91%,-3.61%,3.12%,-70.70%,-37.40%,0.33,19.99%,15.90%,14.98%,0.83%,-13.81%,5.10%,1177.01,5076160,1.57,1.65,2.42,1.63,2.0,27.39%,2024-07-17 08:45:00,21.21%,86.26,,
2,ASST,Asset Entities Inc,Communication Services,Internet Content & Information,USA,18.18,,0.21,1.16,1.03,88.66%,0.00%,0.34%,,0.24%,0.03,0.0,0.50%,1.02%,0.50%,-1.96%,0.50%,-0.99%,0.51%,-6.54%,20.48%,20.48%,-3.85%,-10.91%,-3.61%,3.12%,-70.70%,-37.40%,0.33,19.99%,15.90%,14.98%,0.83%,-13.81%,5.10%,1206.29,5202454,1.57,1.65,2.42,1.63,2.0,27.39%,2024-07-17 09:00:00,21.21%,86.26,,
2,ASST,Asset Entities Inc,Communication Services,Internet Content & Information,USA,17.73,,0.21,1.16,1.03,88.66%,0.00%,0.34%,,0.24%,0.03,0.0,-0.98%,-0.47%,1.07%,0.55%,-0.98%,-3.35%,-2.46%,-4.89%,4.32%,17.51%,-6.22%,-13.11%,-5.99%,0.58%,-71.42%,-38.95%,0.33,19.99%,15.90%,12.15%,-1.66%,-15.93%,5.10%,1232.28,5314522,1.57,1.65,2.42,1.63,1.95,24.25%,2024-07-17 09:15:00,18.22%,86.26,,
3,ASST,Asset Entities Inc,Communication Services,Internet Content & Information,USA,17.48,,0.21,1.16,1.03,88.66%,0.00%,0.34%,,0.24%,0.03,0.0,-0.89%,-0.38%,-0.89%,1.73%,-0.37%,-1.90%,-3.86%,-3.38%,-9.73%,15.83%,-7.56%,-14.36%,-7.34%,-0.87%,-71.83%,-39.82%,0.3,19.99%,15.90%,10.54%,-3.07%,-17.14%,24.20%,1265.65,5458457,1.57,1.95,1.94,1.9,1.92,22.46%,2024-07-17 09:30:00,-1.40%,86.26,,
4,ASST,Asset Entities Inc,Communication Services,Internet Content & Information,USA,15.54,,0.21,1.16,1.03,88.66%,0.00%,0.34%,,0.24%,0.03,0.0,-2.84%,-3.39%,-0.58%,-4.44%,-3.73%,-9.52%,-12.76%,-15.35%,-15.76%,3.01%,-17.79%,-23.83%,-17.59%,-11.83%,-74.95%,-46.48%,0.3,19.99%,15.90%,-1.69%,-13.79%,-26.31%,24.20%,798.15,5957683,1.57,1.95,1.94,1.68,1.71,8.92%,2024-07-17 09:45:00,-12.31%,86.26,,
