No.,Ticker,Company,Country,Market Cap,P/E,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Short Float,Short Ratio,Short Interest,Performance (1 Minute),Performance (2 Minutes),Performance (3 Minutes),Performance (5 Minutes),Performance (10 Minutes),Performance (15 Minutes),Performance (30 Minutes),Performance (1 Hour),Performance (2 Hours),Performance (4 Hours),Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,Change from Open,Gap,Average Volume,Relative Volume,Volume,Prev Close,Open,High,Low,Price,Change,After-Hours Close,After-Hours Change,timestamp
2,BTAI,BioXcel Therapeutics Inc,USA,41.28,,29.32,21.88%,-3.13%,24.40%,-4.57%,2.14%,0.97,0.63,0.00%,1.85%,1.85%,1.85%,1.85%,4.76%,-0.90%,-0.90%,-0.90%,-0.90%,0.92%,1.85%,-56.18%,-70.35%,-85.35%,-62.71%,0.12,7.38%,8.29%,-4.51%,-16.05%,-58.25%,-0.90%,20.64%,647.58,7.45,241246,0.92,1.11,1.24,1.03,1.1,19.55%,,,2024-08-06 08:00:00
3,BTAI,BioXcel Therapeutics Inc,USA,38.66,,29.32,21.88%,-3.13%,24.40%,-4.57%,2.14%,0.97,0.63,0.08%,1.98%,0.03%,1.89%,-2.83%,-5.50%,-1.90%,-7.21%,-7.21%,-7.21%,-5.50%,-4.63%,-58.96%,-72.24%,-86.28%,-65.08%,0.12,7.38%,8.29%,-10.59%,-21.39%,-60.91%,-7.21%,20.64%,647.58,10.25,332044,0.92,1.11,1.24,1.0,1.03,11.94%,,,2024-08-06 08:15:00
6,BTAI,BioXcel Therapeutics Inc,USA,40.16,,29.32,21.88%,-3.13%,24.40%,-4.57%,2.14%,0.97,0.63,0.00%,3.88%,3.88%,7.65%,3.88%,3.96%,-1.83%,-3.60%,-3.60%,-3.60%,-1.83%,-0.93%,-57.37%,-71.16%,-85.75%,-63.73%,0.12,7.38%,8.29%,-7.12%,-18.34%,-59.39%,-3.60%,20.64%,647.58,12.04,389892,0.92,1.11,1.24,0.99,1.07,16.29%,,,2024-08-06 08:30:00
6,BTAI,BioXcel Therapeutics Inc,USA,39.78,,29.32,21.88%,-3.13%,24.40%,-4.57%,2.14%,0.97,0.63,0.00%,0.00%,0.00%,0.00%,1.92%,-0.93%,4.95%,-13.11%,-4.50%,-4.50%,-2.75%,-1.85%,-57.77%,-71.43%,-85.89%,-64.07%,0.12,7.38%,8.29%,-7.99%,-19.10%,-59.77%,-4.50%,20.64%,647.58,12.4,401477,0.92,1.11,1.24,0.99,1.06,15.20%,,,2024-08-06 08:45:00
6,BTAI,BioXcel Therapeutics Inc,USA,38.39,,29.32,21.88%,-3.13%,24.40%,-4.57%,2.14%,0.97,0.63,0.00%,0.00%,0.00%,0.00%,-1.63%,-4.39%,-4.39%,-6.15%,-7.84%,-7.84%,-6.15%,-5.28%,-59.24%,-72.43%,-86.38%,-65.32%,0.12,7.38%,8.29%,-11.20%,-21.93%,-61.17%,-7.84%,20.64%,647.58,12.55,406309,0.92,1.11,1.24,0.99,1.02,11.18%,,,2024-08-06 09:00:00
7,BTAI,BioXcel Therapeutics Inc,USA,38.28,,29.32,21.88%,-3.13%,24.40%,-4.57%,2.14%,0.97,0.63,-0.97%,-0.97%,-1.92%,-1.92%,-2.86%,-0.29%,-4.67%,-0.89%,-8.11%,-8.11%,-6.42%,-5.56%,-59.36%,-72.51%,-86.42%,-65.42%,0.12,7.38%,8.29%,-11.46%,-22.16%,-61.29%,-8.11%,20.64%,647.58,12.7,411363,0.92,1.11,1.24,0.99,1.02,10.86%,,,2024-08-06 09:15:00
7,BTAI,BioXcel Therapeutics Inc,USA,38.47,,29.32,21.88%,-3.13%,24.40%,-4.57%,2.14%,0.97,0.63,0.00%,0.00%,0.00%,-0.49%,-2.38%,-2.38%,-2.38%,-1.44%,-7.66%,-7.66%,-5.96%,-5.09%,-59.16%,-72.37%,-86.35%,-65.25%,0.1,7.38%,8.29%,-11.02%,-21.77%,-61.10%,2.50%,8.68%,647.58,13.46,435883,0.92,1.0,1.03,1.0,1.02,11.40%,,,2024-08-06 09:30:00
11,BTAI,BioXcel Therapeutics Inc,USA,37.53,,29.32,21.88%,-3.13%,24.40%,-4.57%,2.14%,0.97,0.63,-0.01%,-0.01%,-0.01%,-2.06%,-1.97%,-1.97%,-1.97%,-6.55%,-9.92%,-9.92%,-8.27%,-7.42%,-60.16%,-73.05%,-86.69%,-66.11%,0.1,7.38%,8.29%,-13.20%,-23.69%,-62.05%,-0.01%,8.68%,647.58,9.21,516284,0.92,1.0,1.03,0.99,1.0,8.67%,,,2024-08-06 09:45:00
13,BTAI,BioXcel Therapeutics Inc,USA,35.7,,29.32,21.88%,-3.13%,24.40%,-4.57%,2.14%,0.97,0.63,-1.89%,-1.89%,-1.87%,-4.11%,-4.73%,-2.85%,-6.75%,-9.41%,-12.73%,-14.31%,-12.73%,-11.93%,-62.10%,-74.36%,-87.33%,-67.76%,0.1,7.38%,8.29%,-17.43%,-27.41%,-63.90%,-4.88%,8.68%,647.58,6.95,553881,0.92,1.0,1.03,0.95,0.95,3.38%,,,2024-08-06 10:00:00
5,CSX,CSX Corp.,USA,65685.65,18.43,1952.02,0.15%,-10.43%,74.83%,-2.31%,1.51%,2.64,29.49,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.15%,-0.06%,-0.06%,-0.06%,-4.05%,0.63%,-0.24%,-8.52%,6.60%,-3.09%,0.82,3.18%,2.50%,-1.71%,0.13%,-1.91%,-0.06%,1.88%,11183.97,4.39,2457591,33.0,33.62,33.65,33.0,33.6,1.82%,,,2024-08-06 08:00:00
